level_bucket,mean,median,Q1,Q3
Director,391926.4018691589,340000.0,230000.0,500000.0
Entry,134038.12117086453,122000.0,92000.0,163000.0
Mid,189509.88940876222,179000.0,140000.0,233000.0
Senior,254515.11937179405,230000.0,168500.0,315000.0
